geoid,centroid_lat,centroid_lon
17031440900,41.728669,-87.609006
17031440700,41.734752,-87.60963
17031440800,41.731711,-87.603327
17031630300,41.798862,-87.708638
17031630500,41.797428,-87.689017
17031630800,41.789965,-87.698572
17031630900,41.789812,-87.708366
17031640100,41.78192,-87.739861
17031640300,41.781532,-87.771635
17031750100,41.695834,-87.652028
17031750200,41.695664,-87.671424
17031750300,41.695391,-87.686172
17031750400,41.685657,-87.685072
17031750500,41.684616,-87.671234
17031282700,41.871367,-87.688681
17031282800,41.870271,-87.684919
17031400300,41.793104,-87.613183
17031400500,41.791041,-87.623178
17031400800,41.782864,-87.620559
17031410100,41.80127,-87.585628
17031410500,41.797831,-87.603742
17031410600,41.797969,-87.598942
17031460100,41.746147,-87.535729
17031450300,41.741944,-87.579089
17031460200,41.741387,-87.54701
17031640400,41.781178,-87.791247
17031640500,41.775682,-87.790988
17031640600,41.776036,-87.771429
17031640700,41.776411,-87.751935
17031640800,41.774825,-87.739743
17031650100,41.782376,-87.717855
17031650200,41.782222,-87.730226
17031750600,41.688631,-87.65205
17031410700,41.798049,-87.594198
17031410800,41.797961,-87.589625
17031410900,41.7972,-87.582356
17031411000,41.79051,-87.583139
17031411100,41.790456,-87.589702
17031411200,41.790561,-87.594016
17031460400,41.744491,-87.563692
17031460500,41.746882,-87.572605
17031461000,41.727425,-87.546485
17031561000,41.788502,-87.791503
17031100200,41.995774,-87.794259
17031020200,42.01569,-87.699519
17031420100,41.783018,-87.582551
17031420200,41.783468,-87.59352
17031420400,41.783169,-87.603557
17031420700,41.776691,-87.610693
17031420800,41.77691,-87.603258
17031470100,41.728221,-87.596489
17031480100,41.735241,-87.575729
17031480200,41.735124,-87.589883
17031480300,41.729194,-87.587972
17031480400,41.72845,-87.575639
17031650400,41.765312,-87.717165
17031650500,41.762219,-87.732035
17031660400,41.782532,-87.708044
17031290900,41.86241,-87.732457
17031291200,41.862662,-87.712876
17031421200,41.770662,-87.608947
17031271500,41.871786,-87.713156
17031292200,41.856667,-87.715731
17031292400,41.85524,-87.722399
17031292500,41.855161,-87.732243
17031271800,41.871497,-87.698491
17031280100,41.885396,-87.642879
17031280400,41.886009,-87.671885
17031300600,41.847991,-87.717335
17031300700,41.848072,-87.71245
17031301100,41.847028,-87.697972
17031301200,41.848417,-87.691477
17031480500,41.7276,-87.559091
17031490500,41.717931,-87.613196
17031520200,41.713816,-87.53981
17031520300,41.701114,-87.539563
17031520400,41.703008,-87.530703
17031520500,41.693116,-87.530872
17031520600,41.68952,-87.5404
17031660500,41.775246,-87.707927
17031660600,41.777287,-87.69334
17031660700,41.773845,-87.681095
17031660800,41.773642,-87.693267
17031660900,41.768104,-87.697998
17031661000,41.761818,-87.685046
17031280900,41.878628,-87.685137
17031301600,41.840757,-87.712251
17031490600,41.717974,-87.628331
17031490700,41.710734,-87.628361
17031490800,41.71069,-87.615347
17031491000,41.699763,-87.628053
17031491100,41.699753,-87.6377
17031530200,41.681561,-87.632395
17031530300,41.681314,-87.651752
