activity_year,census_tract,group,applications,denials,originations,orig_dollars
2018,17031051100,White (non-Hispanic),57,7,50,24150000.0
2018,17031051200,Asian,3,0,3,1815000.0
2018,17031051200,Latino/Hispanic,4,1,3,1255000.0
2018,17031051200,Other / Joint,3,0,3,1215000.0
2018,17031051200,Race not available,9,1,8,4770000.0
2018,17031051200,White (non-Hispanic),33,6,26,13570000.0
2018,17031051300,Asian,11,4,7,2625000.0
2018,17031051300,Latino/Hispanic,3,1,1,405000.0
2018,17031051300,Other / Joint,4,0,4,2700000.0
2018,17031051300,Race not available,24,4,19,9255000.0
2018,17031051300,White (non-Hispanic),120,20,97,45675000.0
2018,17031051400,Asian,6,1,5,2785000.0
2018,17031051400,Latino/Hispanic,10,3,7,1435000.0
2018,17031051400,Other / Joint,4,0,4,1580000.0
2018,17031051400,Race not available,24,2,22,19630000.0
2018,17031051400,White (non-Hispanic),64,10,54,22540000.0
2018,17031060100,Asian,3,0,3,2375000.0
2018,17031060100,Black,1,0,1,435000.0
2018,17031060100,Latino/Hispanic,4,0,4,880000.0
2018,17031060100,Other / Joint,2,0,2,670000.0
2018,17031060100,Race not available,14,1,12,6500000.0
2018,17031060100,White (non-Hispanic),74,11,62,29670000.0
2018,17031060200,Asian,1,0,0,0.0
2018,17031060200,Latino/Hispanic,1,1,0,0.0
2018,17031060200,Other / Joint,1,0,1,1025000.0
2018,17031060200,Race not available,8,1,7,6685000.0
2018,17031060200,White (non-Hispanic),34,3,31,11945000.0
2018,17031060300,Asian,1,0,1,915000.0
2018,17031060300,Black,1,0,1,585000.0
2018,17031060300,Latino/Hispanic,2,0,2,1190000.0
2018,17031060300,Other / Joint,8,0,8,3920000.0
2018,17031060300,Race not available,13,0,13,9645000.0
2018,17031060300,White (non-Hispanic),78,8,67,31375000.0
2018,17031060400,Asian,8,0,8,3070000.0
2018,17031060400,Black,1,0,1,65000.0
2018,17031060400,Latino/Hispanic,1,1,0,0.0
2018,17031060400,Other / Joint,2,0,2,1300000.0
2018,17031060400,Race not available,27,1,25,28055000.0
2018,17031060400,White (non-Hispanic),86,12,74,41690000.0
2018,17031060500,Latino/Hispanic,1,0,1,685000.0
2018,17031060500,Other / Joint,3,0,3,1865000.0
2018,17031060500,Race not available,5,0,5,3255000.0
2018,17031060500,White (non-Hispanic),17,0,17,7015000.0
2018,17031060800,Asian,26,7,18,2680000.0
2018,17031060800,Black,8,4,4,810000.0
2018,17031060800,Latino/Hispanic,17,5,11,1555000.0
2018,17031060800,Race not available,26,4,22,6070000.0
2018,17031060800,White (non-Hispanic),152,26,125,21365000.0
2018,17031060900,Asian,23,7,16,2520000.0
2018,17031060900,Black,3,2,1,235000.0
2018,17031060900,Latino/Hispanic,18,3,15,2245000.0
