"id","tif_district","project_name","address","developer","project_description","cdc_date","coc_date","approved_amount","total_project_cost","tif_subsidy_percentage","affordable_units","ward","community_area","x_coordinate","y_coordinate","latitude","longitude","location"
"16894","Midwest","Ogden Living Phase A-2","1312 S Talman Av","The Habitat Company","OC Living Phase 2 formerly known as Ogden Commons A-2 Residential is a 2021 9% LIHTC Awardee from Illinois Housing Development Authority (IHDA). OC Living Phase 2 is the second residential phase of a comprehensive, mixed-use, mixed-income redevelopment in the North Lawndale community consisting of 150,000 SF of commercial and office buildings along Ogden Ave and approximately 300 units of mixed income housing.","2024-04-17T00:00:00.000",,"9000000","38537943","23.35","57","28","North Lawndale","1158864.2248268102","1893784.3003441268","41.8642764578","-87.6922889087","
,  
(41.864276457843, -87.6922889087213)"
"16004","Chicago/Central Park","3831 W. Chicago MF","740 N Avers Av","AJ Patton _ 548 Development","The development will consist of 60 apartments (80% LIHTC/20% Market Rate), 20,000 sq ft of commercial and community space & art. The new development will be a four-story multi-family building. Bore out of the visioning session for the Humboldt Park � Chicago Ave RFP, as a potential development site along the corridor, The building will achieve Enterprise Green Communities Criteria and is striving to achieve Passive House (PHIUS) certification to provide a healthy and sustainable lifestyle for the residents Highly efficient electric heat pumps will provide central heat and air conditioning to the individual units. Geared towards young families and professionals, the building will have a mix of studio, 1,2 and 3 BR units. The building is also currently planning for the installation of solar arrays, electric charging stations and green landscaping features.","2023-03-15T00:00:00.000",,"18700000","48658350","38.43","60","37","Humboldt Park","1150544.6735058965","1904860.038092714","41.8948359094","-87.7225406008","
,  
(41.89483590935249, -87.72254060084371)"
"15737","Commercial Avenue","Yellow Banana - 2858 E 83rd","2858 E 83rd St","Yellow Banana, LLC","Acquisition, rehabilitation and remodeling of a Save A Lot store.","2022-11-16T00:00:00.000","2025-09-24T00:00:00.000","2330000","4686015","49.72",,"7","South Chicago","1196917.3210595993","1850533.971892196","41.7447308395","-87.5540391375","
,  
(41.74473083947384, -87.55403913753914)"
"17048","Commercial Avenue","Galleria 89","8840 S Commercial Av","548 Development","The project will include the renovation an existing, three-story, mixed-use building at 8840 S. Commercial Ave. to contain 12 residential units and two ground-floor commercial units, the construction of an approximately 76�-tall mixed-use building at 8848-8856 S. Commercial Ave. containing 46-affordable residential units and two ground-floor commercial units, and the creation of a plaza.","2025-02-11T00:00:00.000",,"18300000","46504312","39.35","57","10","South Chicago","1197642.474816718","1846750.3245391494","41.7343301672","-87.5515080845","
,  
(41.73433016722335, -87.55150808451)"
"17318","LaSalle Central","111 W Monroe - The Monroe Residences","111 W Monroe St","The Prime Group, Inc","Located in the Loop, the project consists of an adaptive reuse and conversion of approximately 342,0000 square feet of building, located on floors 7-21, will convert former office space to 345 residential units, of which 105 (30%) will be affordable.","2025-04-16T00:00:00.000",,"40000000","179200000","22.32","104","34","Loop","1175455.4552784467","1899856.2875867863","41.8805822663","-87.6312010089","
,  
(41.88058226633408, -87.63120100893529)"
"16988","Chicago/Central Park","The Ave: Multifamily","3601 W Chicago Av","KMW, LLC","As-of-right Development. ISW Humboldt Park - Chicago Ave RFP winner.  Looking to build as-of-right through change in zoning to B3-3","2024-10-09T00:00:00.000",,"18344044","44311600","41.4","52","27","Humboldt Park","1152222.5212097208","1905059.5680375593","41.8953504973","-87.7163730165","
,  
(41.89535049734136, -87.71637301651454)"
"17372","Western/Ogden","2508 W 21st St - Franciscan NCS Acquisition and Rehab","2508 W 21st St","Franciscan Outreach","Franciscan Outreach seeks to acquire and rehab an existing industrial building at 2508 W 21st St. into non-congregate shelter, with 81 beds in non-congregate sleeping rooms, a 36-bed flex congregate shelter space, staff offices, case management and behavioral and health care services, and community space.","2025-02-19T00:00:00.000",,"15000000","25537000","58.74","35","25","Lower West Side","1159961.1329127278","1890033.7020520808","41.8539618883","-87.688365609","
,  
(41.85396188828081, -87.6883656089597)"
"16647","Lincoln Avenue","Stabilization Housing Acquisition Lincoln Avenue","5230 N Lincoln Av",,"Seeking Acquisition authority for Diplomat Motel, located at 5230 N. Lincoln Ave. and 2500 W. Farragut Avenue, in the Lincoln Avenue TIF in order to make minor property renovations for the building to be used for the CDPH Stabilization Housing Pilot Program to provide behavioral health and housing support for people experiencing homelessness.","2023-07-12T00:00:00.000",,"5500000","13203660","41.66",,"40","Lincoln Square","1158483.4000551288","1934791.18104056","41.9768101994","-87.6925621011","
,  
(41.976810199422054, -87.69256210112137)"
"12304","Roosevelt/Racine","Taylor Street Library and Apartments","1340 W Taylor St","Taylor Street LA LLC","Located in the Near West Side, the project includes construction of a mixed-use building that will contain 73 residential units. Of the units, 51% (37) will be for CHA residents, 40% (29) will be affordable to households earning 60% of the area median income (AMI) and below, and 9% (7) will be unrestricted market rate units.  In addition to the housing, there will be an approximately 15,000 square foot library, an outdoor terrace, community room, bicycle racks and off-street parking.

Zoning: PD 896","2017-11-08T00:00:00.000","2020-01-06T00:00:00.000","7000000",,"16.94","66","28","Near West Side","1167405.1741604654","1895739.0055358224","41.8694610444","-87.660879168","
,  
(41.86946104442785, -87.66087916803869)"
"16938","Wilson Yard","Heart of Uptown Apartments - POAH","927 W Wilson Av","POAH & VOP Uptown","Located in Uptown, the development team proposes to preserve 103 affordable units within five buildings.  The rehab includes repairs and upgrades to major building systems including; replacement of roofs, replacement of windows, masonry repairs, repairs to plumbing infrastructure, upgrade HVAC equipment, unit interior improvements, and common area upgrades.","2024-10-30T00:00:00.000",,"15000000","56074745","26.75","103","46","Uptown","1169143.772630498","1930693.0740814437","41.9653393681","-87.653479057","
,  
(41.96533936814992, -87.65347905700477)"
