start_station_id,start_station_name,trips,member_trips,casual_trips,classic_trips,electric_trips,docked_trips,rtype_other_trips,mean_start_lat,mean_start_lng,coord_n,dist_sum_m,dist_n
13056,Canal St & Monroe St,4151,3147,1004,2267,1884,0,0,41.882017,-87.639604,4151,8096304.2,4144
TA1306000011,Wells St & Walton St,4116,2615,1501,2902,1214,0,0,41.899933,-87.634432,4116,6772046.1,4105
13128,Clark St & North Ave,4110,2278,1832,2732,1378,0,0,41.911967,-87.631968,4110,10328150.0,4104
13017,Franklin St & Chicago Ave,4105,2828,1277,2457,1648,0,0,41.896764,-87.635709,4105,7355370.6,4103
KP1705001026,LaSalle Dr & Huron St,4086,2550,1536,2579,1507,0,0,41.894834,-87.632321,4086,7686151.9,4081
TA1308000009,Shore Dr & 55th St,4084,2287,1797,2918,1166,0,0,41.795228,-87.580792,4084,11373869.0,4077
TA1305000030,Wells St & Randolph St,4076,2686,1390,2464,1612,0,0,41.884279,-87.633758,4076,8121544.4,4068
KA1503000015,Wabash Ave & Adams St,4057,2545,1512,2389,1668,0,0,41.879496,-87.625740,4057,7907858.1,4049
13029,Field Museum,4039,691,3348,2882,1157,0,0,41.865291,-87.617873,4039,9817810.6,4028
22004,Blackstone Ave & 59th St,4036,2944,1092,3042,994,0,0,41.787901,-87.590492,4036,4526187.5,4031
13303,Clark St & Chicago Ave,4025,2722,1303,2633,1392,0,0,41.896742,-87.630874,4025,7376229.6,4020
13058,Dayton St & North Ave,4021,2664,1357,2289,1732,0,0,41.910580,-87.649435,4021,8709904.6,4021
TA1307000006,Southport Ave & Wellington Ave,4021,2609,1412,2359,1662,0,0,41.935774,-87.663604,4021,9076021.3,4016
TA1307000164,Woodlawn Ave & 55th St,3995,2852,1143,3000,995,0,0,41.795266,-87.596474,3995,4650745.3,3985
13243,Milwaukee Ave & Wabansia Ave,3989,2793,1196,2235,1754,0,0,41.912622,-87.681403,3989,9248193.2,3988
13217,Calumet Ave & 33rd St,3975,3675,300,2501,1474,0,0,41.834859,-87.618033,3975,4197143.4,3971
chargingstx4,Morgan St & Lake St*,3973,2854,1119,2202,1771,0,0,41.885507,-87.652313,3973,7619109.5,3969
TA1308000029,Stetson Ave & South Water St,3948,2543,1405,2039,1909,0,0,41.886815,-87.622355,3948,12454377.8,3941
13074,Broadway & Wilson Ave,3944,2707,1237,2217,1727,0,0,41.965218,-87.658178,3944,8922785.4,3940
15545,Burnham Harbor,3932,2101,1831,3128,804,0,0,41.857416,-87.613794,3932,13743930.0,3922
18062,Aberdeen St & Randolph St,3930,2610,1320,2137,1793,0,0,41.884121,-87.654271,3930,7432267.6,3924
13138,Canal St & Jackson Blvd,3929,3020,909,1925,2004,0,0,41.878049,-87.639836,3929,8791446.0,3926
KA1504000134,Ritchie Ct & Banks St,3928,2403,1525,2110,1818,0,0,41.906857,-87.626261,3928,8982537.0,3927
TA1306000026,Racine Ave & Fullerton Ave,3852,2841,1011,2394,1458,0,0,41.925549,-87.658424,3852,7709332.1,3849
TA1305000034,Honore St & Division St,3836,2769,1067,1924,1912,0,0,41.903126,-87.673893,3836,8785284.3,3830
TA1309000008,Franklin St & Adams St (Temp),3820,2684,1136,2116,1704,0,0,41.879362,-87.635516,3820,6991112.6,3815
13389,Clarendon Ave & Junior Ter,3812,2547,1265,2061,1751,0,0,41.961002,-87.649588,3812,9445242.5,3808
13084,California Ave & Milwaukee Ave,3801,2347,1454,1832,1969,0,0,41.922692,-87.697149,3801,9240757.4,3798
KA1503000044,Rush St & Hubbard St,3791,2441,1350,1968,1823,0,0,41.890187,-87.626195,3791,7249267.8,3773
TA1307000127,Clark St & Grace St,3777,2174,1603,1851,1926,0,0,41.950807,-87.659180,3777,8493187.0,3775
23001,Elizabeth St & Randolph St,3757,2582,1175,1797,1960,0,0,41.884326,-87.658918,3757,7012456.1,3752
