NAME,B19013_001E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,state,county,tract
"Census Tract 2004.02, Cook County, Illinois",77091,1340,735,605,1435,95,17,031,200402
"Census Tract 2101, Cook County, Illinois",115705,1758,871,887,1870,112,17,031,210100
"Census Tract 2104, Cook County, Illinois",64665,967,357,610,1103,136,17,031,210400
"Census Tract 2105.01, Cook County, Illinois",74886,1376,429,947,1534,158,17,031,210501
"Census Tract 2105.02, Cook County, Illinois",79857,1516,479,1037,1724,208,17,031,210502
"Census Tract 2106.01, Cook County, Illinois",90357,1142,590,552,1187,45,17,031,210601
"Census Tract 2106.02, Cook County, Illinois",93589,1682,646,1036,1828,146,17,031,210602
"Census Tract 2107, Cook County, Illinois",100151,1560,658,902,1624,64,17,031,210700
"Census Tract 2108, Cook County, Illinois",92375,435,143,292,468,33,17,031,210800
"Census Tract 2109, Cook County, Illinois",106083,1512,829,683,1567,55,17,031,210900
"Census Tract 2203, Cook County, Illinois",94654,975,384,591,1069,94,17,031,220300
"Census Tract 2204, Cook County, Illinois",124613,1150,505,645,1245,95,17,031,220400
"Census Tract 2205, Cook County, Illinois",107857,1420,556,864,1518,98,17,031,220500
"Census Tract 2206.01, Cook County, Illinois",130500,754,324,430,804,50,17,031,220601
"Census Tract 2206.02, Cook County, Illinois",71207,2674,555,2119,2900,226,17,031,220602
"Census Tract 2207.01, Cook County, Illinois",79948,1141,315,826,1273,132,17,031,220701
"Census Tract 2207.02, Cook County, Illinois",80452,1657,534,1123,1711,54,17,031,220702
"Census Tract 2209.01, Cook County, Illinois",83681,1032,366,666,1198,166,17,031,220901
"Census Tract 2209.02, Cook County, Illinois",78304,1055,474,581,1133,78,17,031,220902
"Census Tract 2210, Cook County, Illinois",89044,1100,273,827,1178,78,17,031,221000
"Census Tract 2211, Cook County, Illinois",96514,2037,723,1314,2275,238,17,031,221100
"Census Tract 2212, Cook County, Illinois",126481,1298,599,699,1369,71,17,031,221200
"Census Tract 2213, Cook County, Illinois",87432,1479,369,1110,1663,184,17,031,221300
"Census Tract 2214, Cook County, Illinois",108789,1529,528,1001,1682,153,17,031,221400
"Census Tract 2215, Cook County, Illinois",72292,1442,435,1007,1683,241,17,031,221500
"Census Tract 2216, Cook County, Illinois",138152,1368,642,726,1561,193,17,031,221600
