geoid,intptlat,intptlon,aland_sqm,awater_sqm
17031380100,+41.8202019,-087.6100974,438048,0
17031380200,+41.8205740,-087.6149861,215130,0
17031380600,+41.8201510,-087.6229356,838894,0
17031381200,+41.8085114,-087.6139992,258553,0
17031381400,+41.8076202,-087.6214298,316691,0
17031381500,+41.8101927,-087.6228619,108677,0
17031381700,+41.8055502,-087.6274463,196802,0
17031381800,+41.8038481,-087.6211978,319368,0
17031381900,+41.8039557,-087.6138885,172690,0
17031390100,+41.8135545,-087.5905449,482752,360058
17031390200,+41.8130410,-087.5994765,303791,0
17031390300,+41.8132006,-087.6042089,327051,0
17031390400,+41.8059243,-087.6040582,326306,0
17031390500,+41.8059781,-087.5991987,326519,0
17031390600,+41.8060181,-087.5943504,324629,0
17031390700,+41.8040164,-087.5804887,608424,820061
17031400300,+41.7897540,-087.6112728,1385551,79000
17031400400,+41.7911261,-087.6183211,326944,0
17031400500,+41.7910414,-087.6231791,326149,0
17031400800,+41.7828633,-087.6205580,493317,0
17031410100,+41.8015822,-087.5810259,220901,265305
17031410200,+41.8016709,-087.5942651,64827,0
17031410500,+41.7978308,-087.6037423,263011,0
17031410600,+41.7979687,-087.5989422,252245,0
17031410700,+41.7980493,-087.5941996,259923,0
17031410800,+41.7979614,-087.5896248,249520,0
17031410900,+41.7967097,-087.5780937,387624,578244
17031411000,+41.7872267,-087.5774620,745892,1150922
17031411100,+41.7904552,-087.5897008,283324,0
17031411200,+41.7905618,-087.5940171,402990,0
17031420100,+41.7825689,-087.5795042,761045,623125
17031420200,+41.7834680,-087.5935208,277261,0
17031420300,+41.7832241,-087.5986970,245119,0
17031420400,+41.7831699,-087.6035584,245128,0
17031420500,+41.7831002,-087.6084261,245980,0
17031420600,+41.7830135,-087.6132777,243609,0
17031420700,+41.7766914,-087.6106933,650530,0
17031420800,+41.7769097,-087.6032569,347603,0
17031421200,+41.7706621,-087.6089474,325749,0
17031430101,+41.7698532,-087.5739530,327083,0
17031430102,+41.7689528,-087.5638143,454086,542570
17031430200,+41.7697613,-087.5813509,661348,0
17031430300,+41.7697163,-087.5893601,406133,0
17031430400,+41.7621961,-087.5903098,547730,0
17031430500,+41.7643139,-087.5812700,342833,0
17031430600,+41.7644133,-087.5713730,333359,0
17031430700,+41.7652716,-087.5608903,189450,178320
17031430800,+41.7607500,-087.5712983,328071,0
17031430900,+41.7606410,-087.5811851,336518,0
17031431200,+41.7553011,-087.5711843,655295,0
17031431301,+41.7535302,-087.5601871,404025,0
17031431302,+41.7583855,-087.5627859,437419,0
17031431400,+41.7572084,-087.5465550,1084987,1126154
17031440101,+41.7486271,-087.6014512,377008,0
17031440102,+41.7409356,-087.6011636,627506,0
17031440201,+41.7482097,-087.6100739,531454,0
17031440202,+41.7409599,-087.6097620,781698,0
17031440300,+41.7437212,-087.6195424,1295106,0
17031440600,+41.7326718,-087.6191373,666619,0
17031440700,+41.7347514,-087.6096294,327461,0
17031440800,+41.7317114,-087.6033280,279123,0
17031440900,+41.7286690,-087.6090057,742630,0
17031450300,+41.7419438,-087.5790892,1366771,0
17031460100,+41.7478345,-087.5367253,2964055,2514274
17031460200,+41.7413872,-087.5470101,600282,0
17031460301,+41.7400264,-087.5563673,485612,0
17031460302,+41.7470840,-087.5573879,648832,0
17031460400,+41.7444903,-087.5636922,652525,0
17031460500,+41.7468819,-087.5726041,1277228,0
17031460800,+41.7356005,-087.5531842,683234,0
17031461000,+41.7273925,-087.5465424,561859,59596
17031470100,+41.7282207,-087.5964894,1589028,0
17031480100,+41.7352410,-087.5757292,659618,0
17031480200,+41.7351241,-087.5898829,286108,0
17031480300,+41.7291940,-087.5879725,415735,0
17031480400,+41.7284498,-087.5756385,1809913,0
17031480500,+41.7276001,-087.5590911,1363485,0
17031490200,+41.7249095,-087.6168742,870444,0
17031490500,+41.7179309,-087.6131964,1424111,0
17031490600,+41.7179734,-087.6283302,683115,0
17031490700,+41.7107339,-087.6283617,639811,0
17031490800,+41.7106902,-087.6153469,1081033,0
17031490901,+41.6960582,-087.6162677,845452,0
17031490902,+41.7032801,-087.6153262,1196066,0
17031491000,+41.6997625,-087.6280536,1277974,0
17031491100,+41.6997531,-087.6376994,1321949,0
17031491200,+41.6887765,-087.6374383,649492,0
17031491300,+41.6888969,-087.6278036,646033,0
17031491400,+41.6891232,-087.6168215,829869,0
17031500100,+41.7146840,-087.5950287,2651675,0
17031500200,+41.7008552,-087.6003086,2042414,0
17031500300,+41.6893150,-087.6053698,709172,0
17031510100,+41.7126213,-087.5500748,2147646,220086
17031510200,+41.7142651,-087.5600495,1277946,0
17031510300,+41.7157373,-087.5749771,2958349,0
17031520100,+41.7211184,-087.5294325,2581838,521741
17031520200,+41.7123087,-087.5406913,1108055,109644
17031520300,+41.7011139,-087.5395629,958354,0
17031520400,+41.7030080,-087.5307029,725278,0
17031520500,+41.6931158,-087.5308719,1050138,0
17031520600,+41.6895204,-087.5404000,1089377,0
17031530100,+41.6818522,-087.6179395,649937,0
17031530200,+41.6815612,-087.6323954,1297343,0
17031530300,+41.6813144,-087.6517524,1308194,0
17031530400,+41.6740397,-087.6515267,1312063,0
17031530501,+41.6742780,-087.6321660,1296493,0
17031530502,+41.6660796,-087.6250251,706252,101712
17031530503,+41.6642039,-087.6375356,1598487,57148
17031530600,+41.6700882,-087.6191458,966243,67959
17031540101,+41.6507203,-087.5993689,3357305,508399
17031540102,+41.6673300,-087.6054488,5297055,0
17031550100,+41.6631813,-087.5359785,7189486,1132186
17031550200,+41.6550974,-087.5648270,5093938,283388
17031560100,+41.8156765,-087.7415910,693892,48984
17031560200,+41.8113309,-087.7478273,662049,0
17031560300,+41.8039075,-087.7479870,653932,0
17031560400,+41.8040062,-087.7406144,339633,0
17031560700,+41.7964626,-087.7575202,661239,0
17031560800,+41.7962056,-087.7721659,1321148,0
17031560900,+41.7957702,-087.7916514,1319260,0
17031561000,+41.7885022,-087.7915033,1328253,0
17031561100,+41.7888698,-087.7719099,1321993,0
17031570100,+41.8162003,-087.7189132,1523744,0
17031570200,+41.8143799,-087.7307183,1763887,0
17031570300,+41.8041449,-087.7307909,980167,0
17031570400,+41.8049921,-087.7191305,463390,0
17031570500,+41.7986015,-087.7324553,423598,0
17031580100,+41.8280549,-087.6907463,763337,0
17031580200,+41.8267718,-087.6993478,729817,0
