NAME,B19013_001E,B25003_002E,B25003_003E,state,county,tract
Census Tract 141.20; Dallas County; Texas,154643,1669,191,48,113,014120
Census Tract 141.21; Dallas County; Texas,95758,511,2147,48,113,014121
Census Tract 141.23; Dallas County; Texas,183333,1743,339,48,113,014123
Census Tract 141.24; Dallas County; Texas,203269,1388,162,48,113,014124
Census Tract 141.26; Dallas County; Texas,140735,2228,264,48,113,014126
Census Tract 141.28; Dallas County; Texas,124202,835,661,48,113,014128
Census Tract 141.30; Dallas County; Texas,118869,855,920,48,113,014130
Census Tract 141.32; Dallas County; Texas,78536,410,683,48,113,014132
Census Tract 141.34; Dallas County; Texas,161042,1074,351,48,113,014134
Census Tract 141.35; Dallas County; Texas,121157,872,781,48,113,014135
Census Tract 141.38; Dallas County; Texas,110857,541,1387,48,113,014138
Census Tract 141.39; Dallas County; Texas,59836,252,1015,48,113,014139
Census Tract 141.40; Dallas County; Texas,59688,323,1068,48,113,014140
Census Tract 141.41; Dallas County; Texas,86996,136,895,48,113,014141
Census Tract 141.42; Dallas County; Texas,84048,226,847,48,113,014142
Census Tract 141.43; Dallas County; Texas,122011,827,1021,48,113,014143
Census Tract 141.44; Dallas County; Texas,95542,257,2431,48,113,014144
Census Tract 141.45; Dallas County; Texas,57400,82,620,48,113,014145
Census Tract 141.46; Dallas County; Texas,60327,24,900,48,113,014146
Census Tract 141.47; Dallas County; Texas,57075,0,962,48,113,014147
Census Tract 141.48; Dallas County; Texas,47060,175,1218,48,113,014148
Census Tract 141.49; Dallas County; Texas,99763,95,1674,48,113,014149
Census Tract 141.50; Dallas County; Texas,187143,384,18,48,113,014150
Census Tract 141.51; Dallas County; Texas,128750,330,1210,48,113,014151
Census Tract 141.52; Dallas County; Texas,84444,0,1847,48,113,014152
Census Tract 141.53; Dallas County; Texas,66346,985,357,48,113,014153
Census Tract 141.54; Dallas County; Texas,92697,821,274,48,113,014154
Census Tract 141.55; Dallas County; Texas,105653,490,1784,48,113,014155
Census Tract 141.56; Dallas County; Texas,178022,985,343,48,113,014156
Census Tract 141.57; Dallas County; Texas,113698,89,1377,48,113,014157
Census Tract 141.58; Dallas County; Texas,63867,0,1171,48,113,014158
Census Tract 141.59; Dallas County; Texas,228478,782,20,48,113,014159
Census Tract 141.60; Dallas County; Texas,79890,557,654,48,113,014160
Census Tract 141.61; Dallas County; Texas,54849,54,1863,48,113,014161
Census Tract 142.03; Dallas County; Texas,93271,777,260,48,113,014203
Census Tract 142.04; Dallas County; Texas,79583,245,615,48,113,014204
Census Tract 142.05; Dallas County; Texas,172350,710,31,48,113,014205
Census Tract 142.07; Dallas County; Texas,93865,0,1261,48,113,014207
Census Tract 142.08; Dallas County; Texas,73025,278,1173,48,113,014208
Census Tract 142.09; Dallas County; Texas,123475,63,2258,48,113,014209
Census Tract 143.06; Dallas County; Texas,74318,1276,636,48,113,014306
Census Tract 143.08; Dallas County; Texas,59583,156,1325,48,113,014308
Census Tract 143.09; Dallas County; Texas,50851,51,1916,48,113,014309
Census Tract 143.10; Dallas County; Texas,69806,929,971,48,113,014310
Census Tract 143.13; Dallas County; Texas,129470,447,887,48,113,014313
Census Tract 143.14; Dallas County; Texas,96475,398,754,48,113,014314
Census Tract 143.15; Dallas County; Texas,83491,391,456,48,113,014315
Census Tract 143.16; Dallas County; Texas,75924,989,286,48,113,014316
Census Tract 143.17; Dallas County; Texas,72196,315,556,48,113,014317
Census Tract 143.18; Dallas County; Texas,105755,576,232,48,113,014318
Census Tract 143.19; Dallas County; Texas,67481,0,1049,48,113,014319
Census Tract 143.20; Dallas County; Texas,96750,41,1076,48,113,014320
Census Tract 144.05; Dallas County; Texas,49262,459,893,48,113,014405
Census Tract 144.06; Dallas County; Texas,70270,804,745,48,113,014406
Census Tract 144.07; Dallas County; Texas,45573,437,1637,48,113,014407
Census Tract 144.08; Dallas County; Texas,65357,743,825,48,113,014408
Census Tract 144.09; Dallas County; Texas,39464,254,863,48,113,014409
Census Tract 144.10; Dallas County; Texas,51000,104,1094,48,113,014410
Census Tract 145.01; Dallas County; Texas,108229,1196,171,48,113,014501
Census Tract 145.02; Dallas County; Texas,73374,649,672,48,113,014502
Census Tract 146.01; Dallas County; Texas,64488,322,311,48,113,014601
Census Tract 146.02; Dallas County; Texas,59849,593,866,48,113,014602
Census Tract 146.03; Dallas County; Texas,52697,199,316,48,113,014603
Census Tract 147.01; Dallas County; Texas,52386,456,1111,48,113,014701
Census Tract 147.04; Dallas County; Texas,65878,790,880,48,113,014704
Census Tract 149.03; Dallas County; Texas,76582,527,740,48,113,014903
Census Tract 150.01; Dallas County; Texas,74273,650,901,48,113,015001
Census Tract 150.02; Dallas County; Texas,83155,545,281,48,113,015002
Census Tract 151.01; Dallas County; Texas,64800,891,267,48,113,015101
Census Tract 151.02; Dallas County; Texas,54536,349,463,48,113,015102
Census Tract 152.02; Dallas County; Texas,61948,463,624,48,113,015202
Census Tract 152.05; Dallas County; Texas,51746,544,505,48,113,015205
Census Tract 152.06; Dallas County; Texas,73231,732,617,48,113,015206
Census Tract 152.07; Dallas County; Texas,67738,905,237,48,113,015207
Census Tract 152.08; Dallas County; Texas,51525,1118,86,48,113,015208
Census Tract 153.03; Dallas County; Texas,60466,376,109,48,113,015303
Census Tract 153.04; Dallas County; Texas,62553,1105,104,48,113,015304
Census Tract 153.05; Dallas County; Texas,76289,952,392,48,113,015305
Census Tract 153.06; Dallas County; Texas,93884,1507,539,48,113,015306
Census Tract 154.03; Dallas County; Texas,54110,429,993,48,113,015403
Census Tract 154.04; Dallas County; Texas,52064,385,1028,48,113,015404
Census Tract 154.05; Dallas County; Texas,84143,466,526,48,113,015405
Census Tract 154.06; Dallas County; Texas,70048,818,545,48,113,015406
Census Tract 155; Dallas County; Texas,71441,449,805,48,113,015500
Census Tract 156; Dallas County; Texas,74089,996,559,48,113,015600
Census Tract 157; Dallas County; Texas,65160,515,194,48,113,015700
Census Tract 159; Dallas County; Texas,43644,448,813,48,113,015900
Census Tract 160.01; Dallas County; Texas,49646,680,491,48,113,016001
Census Tract 160.02; Dallas County; Texas,37500,286,702,48,113,016002
Census Tract 161; Dallas County; Texas,31836,519,1152,48,113,016100
Census Tract 162.01; Dallas County; Texas,84779,778,389,48,113,016201
Census Tract 162.03; Dallas County; Texas,46823,19,722,48,113,016203
Census Tract 162.04; Dallas County; Texas,67212,1022,355,48,113,016204
Census Tract 163.01; Dallas County; Texas,71719,1761,346,48,113,016301
